"","ssyk_2012_kod","url","code","title","description"
"59","1732","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1732","1732","Chefer inom handel nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki inom handel. Planlägger och leder den dagliga verksamheten inom handel samt ansvarar för personal."
"60","1741","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1741","1741","Chefer inom friskvård, sport och fritid nivå 1","Chef på mellanchefsnivå. Underställd verk­ställande direktör eller motsvarande. Planerar, leder, utvecklar och samordnar den övergripande verksamheten inom friskvård, sport och fritid, i samråd med högsta chef, chefer för andra avdelningar och underställda chefer."
"61","1742","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1742","1742","Chefer inom friskvård, sport och fritid nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki inom friskvård, sport och fritid. Planlägger och leder den dagliga verksamheten inom friskvård, sport och fritid samt ansvarar för personal."
"62","1791","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1791","1791","Chefer inom övrig servicenäring nivå 1","Chef på mellanchefsnivå. Underställd verkställande direktör eller motsvarande. Planerar, leder, utvecklar och samordnar den övergripande verksamheten inom övrig servicenäring, i samråd med högsta chef, chefer för andra avdelningar och underställda chefer."
"63","1792","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=1792","1792","Chefer inom övrig servicenäring nivå 2","Verksamhetsnära chef underställd mellanchef, direkt underställd verkställande direktör eller motsvarande. Högsta chef i företag utan chefshierarki inom övrig servicenäring. Planlägger och leder den dagliga verksamheten inom övrig servicenäring samt ansvarar för personal."
"64","2111","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2111","2111","Fysiker och astronomer","Utvecklar teorier, modeller och metoder som rör materia, rum, tid, energi, krafter och fält samt samverkan mellan dessa fenomen. Utformar praktiska tillämpningar inom fysik, astronomi, och radiofysik. Studerar fenomen, leder experiment, analyserar och värderar data. Utför beräk­ningar, informerar, inspekterar samt utfärdar anvisningar och tillstånd."
"65","2112","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2112","2112","Meteorologer","Bearbetar och analyserar insamlade data om luftströmmar, lufttryck, temperatur, fuktighet, fysiska och kemiska förändringar hos föroreningar och andra fenomen. Förbereder och rapporterar kort- eller långsikta väderprognoser. Gör utredningar om atmosfären och klimatet."
"66","2113","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2113","2113","Kemister","Utvecklar teorier, modeller och metoder samt utformar praktiska tillämpningar inom kemi. Leder experiment, analyserar och värderar data i laboratoriemiljö. Informerar, ger råd samt utfärdar anvisningar och tillstånd. Utvecklar och provar kemiska produkter och processer. Tar fram dokumentation och handlägger registreringsärenden."
"67","2114","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2114","2114","Geologer och geofysiker m.fl.","Utvecklar teorier, modeller, begrepp och metoder samt tillämpar vetenskaplig kunskap inom geologi, geofysik, hydrologi m.m. Undersöker och kartlägger berggrunden, de lösa jordlagren och grundvattnet. Undersöker, beräknar och forskar kring vattenföring, vattenstånd, isförhållanden, vågor m.m."
"68","2121","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2121","2121","Matematiker och aktuarier","Utvecklar och tillämpar matematiska teorier, modeller och metoder. Utvecklar beräkningsmodeller och löser beräkningsproblem. Utformar och förvaltar premie-, pensions- och andra försäkringssystem m.m."
"69","2122","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2122","2122","Statistiker","Utvecklar och tillämpar statistiska teorier, modeller och metoder. Planerar, utvecklar, bearbetar, framställer, analyserar och presenterar statistiska undersökningar. Gör prognoser. Bearbetar administrativa uppgifter till statistik."
"70","2131","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2131","2131","Cell- och molekylärbiologer m.fl.","Utvecklar teorier, modeller och metoder som behandlar cellens beståndsdelar och struktur. Samlar in och analyserar cellprover för att studera hur molekyler och system i cellen interagerar, hur olika substanser påverkar cellers utveckling och hur processerna regleras. Stu­derar funktionerna hos olika delar av arvsmassa. Utvecklar och kvalitetssäkrar mikro- och molekylärbiologiska analysmetoder."
"71","2132","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2132","2132","Växt- och djurbiologer","Utvecklar teorier, modeller och metoder som rör levande organismer och deras samspel med varandra och med miljön. Gör artbestämningar och undersöker arters utbredning, levnadsbetingelser och beteenden. Studerar processer och tekniker för agrikulturell och miljöbetingad användning. Utvecklar och kvalitetssäkrar botaniska och zoologiska analysmetoder."
"72","2133","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2133","2133","Farmakologer och biomedicinare","Utvecklar teorier, modeller och metoder inom farmakologi. Genomför försök, analyserar och värderar information om hur läkemedel och andra ämnen verkar i celler, organ, djur och människor, samt vilken effekt de har. Utvecklar och formar praktiska tillämpningar inom farmaci och medicin. Informerar, ger råd och utfärdar anvisningar om läkemedel."
"73","2134","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2134","2134","Specialister och rådgivare inom lantbruk m.m.","Utvecklar teorier och metoder, samt bedriver försök och ger råd inom agronomi och trädgårdsvetenskap. Analyserar och värderar data. Utvecklar och utformar praktiska tillämpningar inom jordbruk, livsmedelskedjan och trädgårdsodling."
"74","2135","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2135","2135","Specialister och rådgivare inom skogsbruk","Bedriver försök och ger råd och upplysningar om skogsbruk, jakt och naturvård. Deltar i produktutveckling, marknadsföring och försäljning. Inventerar viltbestånd och värderar skog samt utarbetar skogsbruksplaner, avverkningsplaner m.m. Bedriver yrkesmässig jakt på vilda djur och skadedjur."
"75","2141","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2141","2141","Civilingenjörsyrken inom logistik och produktionsplanering","Utvecklar, leder, planerar och kontrollerar mate­rial- och informationsflöden och produktions­planering. Styr tillverkningsverksamhet och bedömer kostnadseffektivitet. Beslutar tillsammans med marknadsorganisation och kund om tidsplan och produktionsvolym. Planerar och beslutar om leverantörs- och transportkedjan, samt anläggnings- och systemplaner."
"76","2142","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2142","2142","Civilingenjörsyrken inom bygg och anläggning","Utvecklar konstruktionsmetoder, produkter, tjänster och material inom byggnadsteknik samt väg- och vattenbyggnadsteknik. Leder och planerar projekterings- och konstruktionsarbete samt genomförande av bygg- och anläggningsprojekt. Ansvarar för besiktning och kontroller av byggande, material m.m. Utarbetar riktlinjer och metoder för kvalitetssäkring."
"77","2143","https://www.h5.scb.se/yreg/SSYKBeskr2012.asp?id=2143","2143","Civilingenjörsyrken inom elektroteknik","Utvecklar teorier, modeller och metoder inom elektroteknik. Leder projekterings- och konstruktionsarbete som avser elektrotekniska produkter och anläggningar. Svarar för produktion och teknisk utveckling samt för provning och kontroller av elektrotekniska produkter och anläggningar. Undersöker och ger råd om elektrotekniska material, produkter eller processers tekniska aspekter."
